AirlineID,AirlineName,Slug,Country,AirlineType,OfficialBaggageURL,Status,LastChecked,Notes,Region,Priority,RuntimeReadiness,SourceMasterSheet
RYR,Ryanair,ryanair,Ireland,Low-cost,https://help.ryanair.com/hc/en-gb/categories/12489112419089-Bag-Rules,Draft,2026-07-10,"Official cabin-baggage source verified 2026-07-10. Policy rows remain Approved, not Live, pending full dataset certification.",Europe,1,Policy dimensions complete; awaiting Live approval,02_Airlines
EZY,EasyJet,easyjet,United Kingdom,Low-cost,https://www.easyjet.com/en/help/baggage/cabin-bags,Draft,2026-07-10,"Official cabin-baggage source verified 2026-07-10. Policy rows remain Approved, not Live, pending full dataset certification.",Europe,1,Policy dimensions complete; awaiting Live approval,02_Airlines
JET2,Jet2,jet2,United Kingdom,Leisure,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Europe,1,Incomplete policy dimensions,02_Airlines
WZZ,Wizz Air,wizz-air,Hungary,Low-cost,https://www.wizzair.com/en-gb/help-centre/booking-information-and-services/baggage/baggage-allowance,Draft,2026-07-10,"Official cabin-baggage source verified 2026-07-10. Policy rows remain Approved, not Live, pending full dataset certification.",Europe,1,Policy dimensions complete; awaiting Live approval,02_Airlines
BAW,British Airways,british-airways,United Kingdom,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Global,2,Incomplete policy dimensions,02_Airlines
VLG,Vueling,vueling,Spain,Low-cost,https://help.vueling.com/hc/en-gb/articles/19798835176081-Hand-Luggage-Allowance-Cabin-bags-allowance,Draft,2026-07-10,"Official cabin-baggage source verified 2026-07-10. Policy rows remain Approved, not Live, pending full dataset certification.",Europe,2,Policy dimensions complete; awaiting Live approval,02_Airlines
TUI,TUI Airways,tui-airways,United Kingdom,Leisure,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Europe,2,Incomplete policy dimensions,02_Airlines
KLM,KLM,klm,Netherlands,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Global,2,Incomplete policy dimensions,02_Airlines
AFR,Air France,air-france,France,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Global,2,Incomplete policy dimensions,02_Airlines
DLH,Lufthansa,lufthansa,Germany,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Global,2,Incomplete policy dimensions,02_Airlines
EIN,Aer Lingus,aer-lingus,Ireland,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Europe/Transatlantic,2,Incomplete policy dimensions,02_Airlines
EJU,Eurowings,eurowings,Germany,Low-cost,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Europe,3,Incomplete policy dimensions,02_Airlines
NAX,Norwegian,norwegian,Norway,Low-cost,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Europe,3,Incomplete policy dimensions,02_Airlines
TAP,TAP Air Portugal,tap-air-portugal,Portugal,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Europe/Transatlantic,3,Incomplete policy dimensions,02_Airlines
EZS,Swiss,swiss,Switzerland,Full-service,,Draft,2026-07-06,Starter airline record — verify official baggage source before publishing policy claims.,Global,3,Incomplete policy dimensions,02_Airlines
AME,American,american,United States,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,North America,3,Incomplete policy dimensions,02_Airlines
QA,Qatar Airways,qatar-airways,Qatar,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,Global,3,Incomplete policy dimensions,02_Airlines
UNI,United,united,United States,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,North America,3,Incomplete policy dimensions,02_Airlines
VA,Virgin Atlantic,virgin-atlantic,United Kingdom,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,Global,3,Incomplete policy dimensions,02_Airlines
EMI,Emirates,emirates,United Arab Emirates,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,Global,3,Incomplete policy dimensions,02_Airlines
SA,Singapore Airlines,singapore-airlines,Singapore,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,Global,3,Incomplete policy dimensions,02_Airlines
CP,Cathay Pacific,cathay-pacific,Hong Kong,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,Global,3,Incomplete policy dimensions,02_Airlines
DEL,Delta,delta,United States,Full-service,,Draft,2026-07-06,Added during content merge from SEO tips workbook. Verify official baggage sources before publishing policy claims.,North America,3,Incomplete policy dimensions,02_Airlines
