RuleID,AirlineID,FareClass,BagType,IncludedInFare,HeightCm,WidthCm,DepthCm,WeightKg,Quantity,Storage,PriorityAllowed,PaidUpgradeRequired,Status,Notes,MasterPublishStatus,ValidationNote,SourceMasterSheet
BAW-POL-0001,BAW,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
JET2-POL-0004,JET2,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
TUI-POL-0005,TUI,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
DEL-POL-0006,DEL,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
UNI-POL-0007,UNI,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
AME-POL-0008,AME,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
EMI-POL-0009,EMI,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
SA-POL-0010,SA,Unverified,,,,,,,1,,No,,Draft,,Review,Split combined Cabin/Personal policy into separate bag-type rows before publication.,03_Policies
RYR-PER-20260710,RYR,All fares / basic allowance,Personal Item,Yes,40,30,20,,1,Underseat,No,No,Draft,All fares include one small personal bag that must fit under the seat. Official page states 40 × 30 × 20 cm. No weight limit stated for the small personal bag on this source page.,Approved,Structurally aligned; human approval still required.,03_Policies
RYR-CAB-20260710,RYR,Priority / paid option,Cabin Bag,No,55,40,20,10,1,Overhead,Yes,Yes,Draft,Priority & 2 Cabin Bags includes one 10 kg overhead cabin bag. Requires Priority & 2 Cabin Bags; stored in the overhead locker.,Approved,Structurally aligned; human approval still required.,03_Policies
EZY-PER-20260710,EZY,All fares / basic allowance,Personal Item,Yes,45,36,20,15,1,Underseat,No,No,Draft,Every customer may bring one small under-seat cabin bag free of charge. Dimensions include handles and wheels; passenger must be able to lift and carry the bag.,Approved,Structurally aligned; human approval still required.,03_Policies
EZY-CAB-20260710,EZY,Eligible fare / paid option,Cabin Bag,Conditional,56,45,25,15,1,Overhead,Yes,Conditional,Draft,"A large cabin bag is available when purchased or included with eligible membership or fare benefits. Dimensions include handles and wheels; availability and entitlement depend on booking, fare or membership.",Approved,Structurally aligned; human approval still required.,03_Policies
WZZ-PER-20260710,WZZ,All fares / basic allowance,Personal Item,Yes,40,30,20,10,1,Underseat,No,No,Draft,Every passenger may bring one free carry-on bag that fits under the seat. Wheels are allowed but not mandatory. Published size excludes handles/wheels; wheels may add no more than 5 cm.,Approved,Structurally aligned; human approval still required.,03_Policies
WZZ-CAB-20260710,WZZ,Priority / paid option,Cabin Bag,No,55,40,23,10,1,Overhead,Yes,Yes,Draft,WIZZ Priority permits one trolley bag in the overhead compartment. Purchased with WIZZ Priority. Published size excludes handles/wheels; wheels may add no more than 5 cm.,Approved,Structurally aligned; human approval still required.,03_Policies
VLG-PER-20260710,VLG,All fares / basic allowance,Personal Item,Yes,40,30,20,,1,Underseat,No,No,Draft,One under-seat cabin bag is included free. Official page specifies maximum 40 × 30 × 20 cm; no separate weight limit stated for this under-seat bag.,Approved,Structurally aligned; human approval still required.,03_Policies
VLG-CAB-20260710,VLG,Eligible fare / paid option,Cabin Bag,Conditional,55,40,20,10,1,Overhead,Yes,Conditional,Draft,"An overhead cabin bag is included with eligible bundles or can be added through qualifying services or seats. Eligibility depends on bundle, service, premium status or qualifying seat selection.",Approved,Structurally aligned; human approval still required.,03_Policies
